Bike Model,Category,Sub-Category,Part Number,Description,Price,Stock
GIXXER,Body & Frame,Body Covers,99000F10639C000,BODY COVER NEW GIXXER SF,,0
GIXXER,Body & Frame,Body Covers,94411-23J00,"COWLING, BODY (RED) GIXXER A-1",,0
GIXXER,Body & Frame,Frame & Stand,,PILLION STAND FOR GIXXER,,10
GIXXER,Body & Frame,Frame & Stand,42310-34J20-000,"STAND, PROP (GSX150(GIXXER) A-2-5",D-7-31,4
GIXXER,Braking & Suspension,Brakes,24291-28800-000,GIXXER DD REAR BRAK PAD A-3-3,,0
GIXXER,Braking & Suspension,Brakes,4435,GIXXER CHINA TANK PAD,,29
GIXXER,Electrical,Electronics,38500-34J20-000,HORN ASSY (GSX150(Gixxer)) A-3-2,C-5-21,5
GIXXER,Electrical,Electronics,34990-34J10-000,"SENSOR, SPEED (GSX150(GIXXER)) A-1-3",,0
GIXXER,Electrical,Lighting,4655,GIXXER FI ABS  HEADLAMP GLASS,,4
GIXXER,Electrical,Lighting,35100-34J50-000,HEADLAMP ASSY (GSX150(Gixxer)) B-4-2,C-5-12,8
GIXXER,Electrical,Lighting,,NEW GIXXER HEAD LAMP VISOR,,7
GIXXER,Engine,Clutch,11340-34J00-000,CLUTCH (GSX150(GIXXER)) B-3-2,A-8-18,1
GIXXER,Engine,Clutch,11340-34JA0-000,COVER CLUTCH GIXXER (1000 ML),,2
GIXXER,Engine,Pistons & Rings,4616,KEY RING CAP GIXXER FI ABS SERIES,,0
GIXXER,Engine,Pistons & Rings,99000F10297C000,Wiring Diagram of Gixxer,,0
GIXXER,Others,General,,GIXXER WHITE METER PROTECTOR.,,0
GIXXER,Others,General,68282-42K00-BYU,"EMBLEM,GIXXERSF",C-1-13,0
GIXXER,Others,General,68282-42k00-BWQ,"EMBLEM,GIXXERSF",C-1-14,2
GIXXER,Others,General,68282-42K00-B8M,"EMBLEM,GIXXERSF",C-1-15,3
GIXXER,Others,General,,FAITO BALL RACER FOR GIXXER/SF-155,,7
GIXXER,Others,General,99000F10425C000,FLOOR MAT WITH LOCK GIXXER,,0
GIXXER,Others,General,4266,GIXXER 155 STIKER SET-2023(BLACK),,5
GIXXER,Others,General,,GIXXER 155 STIKER SET-2023(SILVER-RED),,0
GIXXER,Others,General,,GIXXER 2021 (BLACK) STIKER SET,,21
GIXXER,Others,General,,GIXXER 2021 (BLUE),,14
GIXXER,Others,General,,GIXXER 2021 (RED) STIKER SET,,9
GIXXER,Others,General,,GIXXER 250 CC  ENGINE GUARD(BLACK),,0
GIXXER,Others,General,3778,GIXXER 250 CC ENGINE GUARD,,1
GIXXER,Others,General,,GIXXER 250 CC ENGINE GUARD(BLUE),,0
GIXXER,Others,General,,GIXXER 4 PLASTIC GUTLI SS BUMPER,,0
GIXXER,Others,General,3562,Gixxer Bag hug,,158
GIXXER,Others,General,3318,GIXXER BAMPER NEW GS,,0
GIXXER,Others,General,,GIXXER BLUE 2021 STIKER,,1
GIXXER,Others,General,3311,gixxer bumper,,81
GIXXER,Others,General,4450,GIXXER BUMPER (HEAVY NAGIN ),,1
GIXXER,Others,General,3383,Gixxer bumper(FI/ABS),,0
GIXXER,Others,General,4449,GIXXER BUMPER(HEAVY JURA ROD ),,0
GIXXER,Others,General,,GIXXER COLOR METER PROTECTOR,,0
GIXXER,Others,General,4636,GIXXER ENGINE BUMPER,,0
GIXXER,Others,General,3759,GIXXER FI ABS HALKA BUMPER,,16
GIXXER,Others,General,,GIXXER FI ABS MEDIUM BUMPER,,21
GIXXER,Others,General,,GIXXER FI V4 STIKER SET,,0
GIXXER,Others,General,3776,GIXXER NEW S BUMPER,,0
GIXXER,Others,General,4137,GIXXER NEW VIP BUMPER-2023,,25
GIXXER,Others,General,3954,GIXXER ROD CYLENCER ZALY,,0
GIXXER,Others,General,3556,Gixxer ss golden khacha,,5
GIXXER,Others,General,11100-34j10-000,HEAD ASSY GIXXER,,4
GIXXER,Others,General,,MRF RADIAL FRONT TYRE GIXXER,,0
GIXXER,Others,General,68292-42K20-MAT,"TAPE,""GIXXERSF"",L",D-11-10,1
GIXXER,Others,General,68282-42K20-MAT,"TAPE,""GIXXERSF"",R",D-11-11,1
GIXXER,Others,General,MB001-41K00-250,"TAPE,GIXXER MATT BLACK,SET",,5
GIXXER,Others,General,MB002-41K00-250,"TAPE,GIXXER MATT BLUE,SET",,5
GIXXER,Others,General,MB003-41K00-250,"TAPE,GIXXER SF MATT BLACK,SET",,2
GIXXER,Others,General,MB004-41K00-250,"TAPE,GIXXER SF MATT BLUE,SET",,4
GIXXER,Others,General,68292-42K20-B6F,"TAPE,GIXXERSF,L",,0
GIXXER,Others,General,68280-42K20-B6F,"TAPE,GIXXERSF,R",,0
GIXXER,Others,General,68282-42K20-B6F,"TAPE,GIXXERSF,R",,7
GIXXER,Transmission,Chain & Sprocket,99000F10641C000,GIXXER KEY CHAIN,,0
